epoch,train_loss,val_loss,val_acc,test_loss,test_acc,lr
51,1.0267158788045248,0.784317757511139,0.7962,0.7697970027923584,0.8084,0.0003557865118884846
52,1.028686277516683,0.7793077951431274,0.8,0.7645970602035522,0.8105,0.00035369180211582916
53,0.9933861769676209,0.77445009059906,0.8018,0.7596063383102417,0.8126,0.00035155508820857914
54,1.0337855498419868,0.7700649295806885,0.8036,0.7552405331611634,0.8141,0.0003493769543229818
55,1.0297291165457831,0.7658402497291565,0.8038,0.7511969235420227,0.8149,0.0003471579959390929
56,0.9938218953662449,0.7618515298843384,0.805,0.7472009642601013,0.8155,0.0003448988196979785
57,1.0337627797444662,0.7580551820755005,0.8074,0.7433824892044067,0.8169,0.00034260004323586506
58,1.0075037201669481,0.753898270702362,0.81,0.7395915627479553,0.8202,0.00034026229501528426
59,0.9632102941513061,0.7498960641860962,0.8112,0.7361125183105469,0.8227,0.00033788621415325743
60,0.9858767198668585,0.7462131351470948,0.813,0.732724681854248,0.8239,0.00033547245024656715
61,1.004631041653951,0.7428261531829834,0.8144,0.7294931097030639,0.8245,0.00033302166319416416
62,0.9604801240285238,0.7395533508300781,0.8164,0.7265902166366577,0.8257,0.0003305345230167577
63,1.0247218794504802,0.7366405311584473,0.8186,0.7240186485290527,0.8266,0.0003280117096736383
64,0.9479326844109429,0.7337685534477234,0.8206,0.7210877631187439,0.8282,0.0003254539128767839
65,0.97499914510515,0.7305085993766784,0.8216,0.7180783989906311,0.8298,0.00032286183190229924
66,0.9279185697237651,0.7278814590454101,0.8224,0.7152106242179871,0.8301,0.000320236175399241
